timestamp,slam_pose_x,slam_pose_y,wheel_pose_x,wheel_pose_y,slam_rotation_theta,imu_rotation_theta,driven_dist_m,xy_euclidean_error_m,x_error_m,y_error_m,yaw_error_deg
1777312770.0668,-0.006027,-0.006782,0.000100,-0.000000,89.8832,90.0000,0.0020,0.009140,-0.006127,-0.006782,-0.1168
1777312770.1007,0.004483,-0.003480,0.000100,-0.000000,90.0830,90.0000,0.0020,0.005596,0.004383,-0.003480,0.0830
1777312770.1350,0.003899,-0.001851,0.000100,-0.000000,90.0752,90.0000,0.0020,0.004226,0.003799,-0.001851,0.0752
1777312770.1688,-0.008124,0.005004,0.000100,-0.000000,89.8586,90.0000,0.0020,0.009627,-0.008224,0.005004,-0.1414
1777312770.1688,-0.008124,0.005004,0.000000,0.000000,89.8586,90.0000,0.0021,0.009541,-0.008124,0.005004,-0.1414
1777312770.1688,-0.008124,0.005004,0.000000,0.000000,89.8586,90.0000,0.0021,0.009541,-0.008124,0.005004,-0.1414
1777312770.2028,0.000984,0.001737,0.000000,0.000000,90.0221,90.0000,0.0021,0.001997,0.000984,0.001737,0.0221
1777312770.2368,-0.000985,0.001144,0.000000,0.000000,89.9802,90.0000,0.0021,0.001510,-0.000985,0.001144,-0.0198
1777312770.2368,-0.000985,0.001144,0.000000,0.000000,89.9802,90.0000,0.0021,0.001510,-0.000985,0.001144,-0.0198
1777312770.2708,0.000316,0.002065,0.000000,0.000000,90.0078,90.0000,0.0021,0.002089,0.000316,0.002065,0.0078
1777312770.2708,0.000316,0.002065,0.000000,0.000000,90.0078,90.0000,0.0021,0.002089,0.000316,0.002065,0.0078
1777312770.3048,-0.003852,0.000937,0.000000,0.000000,89.9337,90.0000,0.0021,0.003965,-0.003852,0.000937,-0.0663
1777312770.3390,0.011304,0.004625,0.000000,0.000000,90.2115,90.0000,0.0021,0.012214,0.011304,0.004625,0.2115
1777312770.3390,0.011304,0.004625,0.000100,-0.000000,90.2115,90.0000,0.0022,0.012121,0.011204,0.004625,0.2115
1777312770.3728,0.008387,0.004211,0.000100,-0.000000,90.1535,90.0000,0.0022,0.009296,0.008287,0.004211,0.1535
1777312770.3728,0.008387,0.004211,0.000100,-0.000000,90.1535,90.0000,0.0022,0.009296,0.008287,0.004211,0.1535
