Thu Jun 11 15:48:29 2026    fastslam.prof_LORANSAC3

         26344788 function calls (26077589 primitive calls) in 114.627 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      139    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/callback_groups.py:114(ending_execution)
      219    0.001    0.000    0.001    0.000 /usr/lib/python3.12/inspect.py:457(iscoroutine)
      615    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
       79    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/tf2_ros/buffer.py:119(_call_new_data_callbacks)
      650    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/callback_groups.py:83(can_execute)
      139    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/callback_groups.py:106(beginning_execution)
      624    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_point.py:148(x)
      602    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_vector3.py:148(x)
      624    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_point.py:163(y)
      219    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
      572    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/guard_condition.py:36(handle)
      598    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_vector3.py:163(y)
      570    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:212(z)
      570    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:227(w)
      570    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:197(y)
      570    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:182(x)
        1    0.000    0.000    0.001    0.001 /opt/ros/jazzy/lib/python3.12/site-packages/tf2_ros/buffer.py:133(lookup_transform)
        2    0.000    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/tf2_ros/buffer.py:215(can_transform)
      551    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_pose.py:145(position)
      441    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
      529    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_vector3.py:178(z)
      139    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/cv_bridge/core.py:91(cvtype2_to_dtype_with_channels)
      514    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_point.py:178(z)
       95    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/executors.py:348(get_nodes)
      490    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:66(X__DEFAULT)
      490    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:81(W__DEFAULT)
      490    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:76(Z__DEFAULT)
      490    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:71(Y__DEFAULT)
      438    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/rclpy/task.py:70(_pending)
      423    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:177(x)
      432    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/builtin_interfaces/msg/_time.py:150(nanosec)
      432    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/builtin_interfaces/msg/_time.py:135(sec)
      423    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:222(w)
      423    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/std_msgs/msg/_header.py:140(stamp)
      423    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/geometry_msgs/msg/_quaternion.py:207(z)
      417    0.001    0.000    0.001    0.000 /opt/ros/jazzy/lib/python3.12/site-packages/sensor_msgs/msg/_image.py:260(data)
